Loudspeaker	GPRS	WLAN	Dimensions	Price group	2G Network	Battery life	Languages	Multitouch	Internal	Audio quality	GPU	Java	Type	CPU	SIM	USB	Status	Camera	Protection	Brand	Clock	Stand-by	Card slot	Announced	Video	Sensors	GPS	Music play	NFC	Chipset	Alarm	Talk time	Phonebook	4G Network	Games	jack	Messaging	Display	Browser	Alert types	Company	Infrared port	Weight	Speed	Image	Primary	3G Network	Bluetooth	Colors	EDGE	Radio	Keyboard	Secondary	OS	Call records	Size	segment
d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d
																																																									class
Yes	Yes	Wi-Fi 802.11b/g	115 x 61 x 11.6 mm (4.53 x 2.40 x 0.46 in)	420	GSM 850 / 900 / 1800 / 1900 	No	No	Yes	4/8/16 GB	No	PowerVR MBX	No	TFT capacitive touchscreen, 16M colors	412 MHz ARM 11	Mini-SIM	Yes, v2.0	Discontinued	No	Corning Gorilla Glass, oleophobic coating	iPhone	No	250	No	2007, January. Released 2007, June	No	Accelerometer, proximity	No	Up to 24 h	No	No	No	8	No	No	No	Yes	SMS (threaded view), Email	No	HTML (Safari)	Vibration, proprietary ringtones	Apple	No	135 g (4.76 oz)	No	http://cdn2.gsmarena.com/vv/thumb/apple-iphone.gif	2 MP, 1600x1200 pixels	No	Yes, v2.0, headset support only	Black	Yes	No	No	No	iOS, upgradable to iOS 3.1.3	No	320 x 480 pixels, 3.5 inches (~165 ppi pixel density)	No
